slug;genre;poster;
the_walk_2015;Biography,Drama,Adventure;https://resizing.flixster.com/oK-UO9NbQiMTLlSH0-t-XkmSwWI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11819840_p_v8_ad.jpg;
bad_boys_for_life;Action,Comedy;https://resizing.flixster.com/6gnj6NBzQAq9GBBgP9Hv4NVVlyw=/206x305/v2/https://resizing.flixster.com/4YRa5Vut6ZDw-m8VmGmAx0-ttcU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNiMmJmZWMxLWNiMjktNDE0OC05NmRiLTNmZjY4ZTY5OTY0Yi53ZWJw;
denial_2016;Drama;https://resizing.flixster.com/_ZJXFCDgAHtgmIgK5Eddu1b-8qA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12954891_p_v8_ai.jpg;
drishyam_2015;Mystery&thriller;https://resizing.flixster.com/VlcnbWoLnSZdnGg3FE00ojCu5Os=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11992916_p_v8_ab.jpg;
kahaani;Mystery&thriller;https://resizing.flixster.com/cdYWMtx1tBH3DZsqAELJy87sJbg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9124174_p_v8_aa.jpg;
custody_2018;Drama,Mystery&thriller;https://resizing.flixster.com/KQLbypc_U6EsuLBbCo1VCOk5e44=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15148550_p_v8_ab.jpg;
in_her_name;Drama;https://resizing.flixster.com/xF6Nscsv3u0SiNScgCee5SkzOFg=/206x305/v2/https://resizing.flixster.com/uUv1-31WHnA598oGyCZGNWlSNAM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M0MDdiNmNjLWViYWYtNDBjNi04ODQxLTYzNWU5MmU2YThjMi53ZWJw;
shoplifters;Crime,Drama,Adventure;https://resizing.flixster.com/KXKzv32r6x8LCorNI0AzUCoWaFc=/206x305/v2/https://resizing.flixster.com/je2582jaRvOGHOcSVK8TPrautMU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FiMjUwYjUyLThiZjMtNDFlZi05MDliLWMxOTc3MTZmYjkzNS53ZWJw;
the_salesman_2017;Drama;https://resizing.flixster.com/-k97rhBnIA3brJo2ZjtXKLxWIcA=/206x305/v2/https://resizing.flixster.com/De84sHK8ydyvo8tvMkLmSemBjW0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVjYzRhYmVmLWQwZDEtNGFhZS1iOWEzLTQwNWFmZGM3ZTcyNi53ZWJw;
once_upon_a_time_in_hollywood;Comedy,Drama;https://resizing.flixster.com/keYhnzIxaYwn2scoKWkCr6sZgD0=/206x305/v2/https://resizing.flixster.com/e7LlisXQ8E9sK0bG6ev6LmFxWBs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzFmOWVhNjA2LTAzZDMtNDQ2Yy1iN2FkLTc4YTgwODIxZDdjOS53ZWJw;
inside_llewyn_davis_2013;Drama,Comedy,Music;https://resizing.flixster.com/DiiyudsAEx9iCCPrFGL6l370PXs=/206x305/v2/https://resizing.flixster.com/0qq0nh6oGn1TzgWpL9ekNDJRXNg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E0NDA1MzVkLWIyNTItNDNiOS1iYzIxLTkwNjgxNTNmMTI2Yy5qcGc=;
portrait_of_a_lady_on_fire;History,Drama,Lgbtq+;https://resizing.flixster.com/OfBywZMmoneIHj22LHzJLiieAm4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16966257_p_v8_ac.jpg;
the_second_mother;Drama;https://resizing.flixster.com/ARsx4FeNS14J7CEL5ot1iZ-_dLM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11733020_p_v8_ap.jpg;
the_lunchbox;Drama,Romance;https://resizing.flixster.com/CzZDSdlsrHeaWZpWvd2k3XsGfPs=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10193521_p_v8_aa.jpg;
